"TIPO_VIVIENDA","VALOR_VIVIENDA","PATRIMONIO","NACIONALIDAD","IMPORTE","CUOTA","INGRESOS","SALDO","EDAD","ESTADO_CIVIL","CLASE"
"Propiedad libre",105177,0,"Español",6000,125,10500,5534,57,"Casado","SI"
"Propiedad hipotecada",104000,0,"Español",20000,337,17835,980,42,"Separado","SI"
"Vive con la familia",0,0,"Español",4000,179,8400,45,27,"Soltero","NO"
"Vive con la familia",0,0,"Español",10000,175,24453,0,29,"Soltero","SI"
"Propiedad libre",90000,19000,"Español",6000,117,27487,597,57,"Casado","SI"
"Propiedad hipotecada",200000,0,"Español",16900,214,23712,1674,NA,"Casado","SI"
"Alquiler",0,0,"Extranjero",10900,266,12500,78,30,"Soltero","SI"
"Alquiler",0,0,"Extranjero",4000,181,14976,0,36,"Soltero","NO"
"Vive con la familia",0,0,"Español",3000,94,NA,212,39,"Soltero","NO"
"Propiedad hipotecada",61500,0,"Español",27000,454,7000,287,35,"Casado","SI"
"Propiedad hipotecada",62500,20000,"Español",14000,277,18000,694,72,"Soltero","SI"
"Propiedad libre",48000,66111,"Español",18500,358,48585,4502,37,"Casado","SI"
"Propiedad hipotecada",150000,0,"Español",5000,97,31433,825,42,"Casado","SI"
"Alquiler",0,0,"Extranjero",15000,253,16800,1069,37,"Soltero","SI"
"Propiedad hipotecada",162000,0,"Español",4000,99,21944,194,47,"Separado","NO"
"Propiedad hipotecada",150000,120000,"Español",18000,300,20000,2058,52,"Casado","SI"
"Alquiler",0,0,"Extranjero",4000,181,19048,69,25,"Soltero","NO"
"Vive con la familia",0,0,"Español",5000,122,16156,1340,28,"Soltero","SI"
"Propiedad hipotecada",150000,0,"Español",9000,158,26979,0,51,"Casado","SI"
"Propiedad hipotecada",90000,0,"Español",12000,240,14940,225,36,"Soltero","SI"
"Propiedad hipotecada",53453,0,"Español",14000,234,16349,456,37,"Soltero","SI"
"Vive con la familia",0,0,"Español",12000,285,13545,0,22,"Soltero","SI"
"Alquiler",0,0,"Extranjero",3000,96,12000,0,29,"Soltero","NO"
"Propiedad libre",240000,0,"Español",10000,172,9616,4654,47,"Casado","SI"
"Alquiler",0,0,"Extranjero",9000,152,16800,312,46,"Soltero","SI"
"Propiedad hipotecada",250000,150000,"Español",10000,196,57000,2028,55,"Casado","SI"
"Propiedad libre",350000,3000,"Español",21000,368,29353,11551,68,"Casado","SI"
"Otros",0,0,"Extranjero",5000,235,13645,0,25,"Soltero","NO"
"Otros",0,15000,"Español",12000,290,30774,617,61,"Casado","SI"
"Alquiler",0,0,"Extranjero",20000,349,14036,8391,31,"Soltero","NO"
"Vive con la familia",0,0,"Español",4000,69,8095,3421,48,"Soltero","SI"
"Alquiler",0,0,"Extranjero",12000,207,3000,0,53,"Casado","SI"
"Propiedad hipotecada",75000,0,"Español",5000,104,15588,667,48,"Soltero","SI"
"Propiedad hipotecada",150000,0,"Español",14000,232,19600,981,45,"Soltero","SI"
"Vive con la familia",0,0,"Español",15000,262,12852,6150,62,"Separado","SI"
"Propiedad hipotecada",120000,0,"Español",6000,120,51507,7230,41,"Casado","SI"
"Propiedad hipotecada",400000,0,"Español",6000,146,18406,7704,47,"Casado","SI"
"Vive con la familia",0,0,"Español",18000,316,NA,78,NA,"Soltero","SI"
"Alquiler",0,0,"Extranjero",6000,105,14000,1,29,"Soltero","SI"
"Vive con la familia",0,0,"Español",3000,52,13000,423,45,"Soltero","SI"
"Alquiler",0,0,"Extranjero",4000,81,17505,177,44,"Soltero","SI"
"Propiedad hipotecada",144000,0,"Español",10000,172,15000,-44,40,"Separado","SI"
"Propiedad hipotecada",24500,25542,"Español",20000,474,47202,5990,52,"Casado","SI"
"Propiedad hipotecada",229000,0,"Español",8000,167,1700,4264,36,"Casado","SI"
"Propiedad hipotecada",174000,0,"Español",8100,154,NA,4547,45,"Soltero","SI"
"Alquiler",0,0,"Extranjero",6000,271,15,608,40,"Soltero","NO"
"Propiedad libre",180000,0,"Español",6000,117,23000,673,73,"Casado","SI"
"Propiedad hipotecada",100000,0,"Español",5000,96,12806,107,35,"Casado","SI"
"Alquiler",0,0,"Extranjero",20000,351,21000,2047,33,"Soltero","NO"
"Alquiler",0,0,"Extranjero",6000,101,16540,1713,34,"Casado","SI"
"Propiedad libre",1,90000,"Español",5000,101,28621,4884,46,"Casado","SI"
"Vive con la familia",0,0,"Español",6000,122,8400,148,44,"Soltero","SI"
"Propiedad hipotecada",600000,400000,"Español",8000,162,50000,3264,63,"Casado","SI"
"Propiedad libre",100000,100000,"Español",20000,349,14000,398,55,"Casado","SI"
"Vive con la familia",68000,0,"Español",13000,262,14800,6846,30,"Soltero","SI"
"Propiedad libre",87500,9000,"Español",6000,100,9700,1921,42,"Casado","SI"
"Alquiler",0,0,"Extranjero",5000,122,13437,-122,55,"Separado","NO"
"Vive con la familia",0,0,"Español",4000,81,21000,736,35,"Soltero","SI"
"Propiedad hipotecada",250000,0,"Extranjero",18000,364,55000,608,31,"Casado","NO"
"Propiedad hipotecada",120000,0,"Extranjero",15000,263,6000,65,43,"Casado","NO"
"Propiedad libre",150253,0,"Español",20000,385,17706,2358,46,"Casado","SI"
"Propiedad hipotecada",240000,0,"Español",27000,388,29585,1182,40,"Casado","SI"
"Propiedad hipotecada",60000,0,"Extranjero",5000,101,12300,1218,34,"Soltero","SI"
"Propiedad hipotecada",240000,0,"Español",20000,387,14500,5662,37,"Casado","SI"
"Propiedad hipotecada",150000,0,"Español",5400,90,NA,1470,41,"Casado","SI"
"Propiedad libre",328467,50000,"Español",8000,133,12583,4564,67,"Soltero","SI"
"Propiedad libre",150000,27030,"Español",7000,168,8000,235,68,"Casado","SI"
"Propiedad hipotecada",223430,0,"Español",14500,276,25799,571,41,"Casado","SI"
"Alquiler",0,0,"Español",2000,40,16743,89,48,"Casado","SI"
"Propiedad hipotecada",30000,0,"Español",15000,354,20902,2126,33,"Soltero","SI"
"Propiedad hipotecada",192300,0,"Español",6000,102,10968,19394,38,"Casado","SI"
"Vive con la familia",90000,12000,"Español",35000,564,22109,14318,31,"Casado","SI"
"Alquiler",0,0,"Español",1500,30,13012,-920,49,"Separado","NO"
"Vive con la familia",0,30000,"Español",20000,488,16778,23123,NA,"Soltero","NO"
"Vive con la familia",0,99329,"Español",17000,335,45782,4236,41,"Soltero","SI"
"Propiedad hipotecada",33000,0,"Español",19000,288,13700,206,30,"Soltero","SI"
"Propiedad hipotecada",16000,0,"Extranjero",3300,66,15000,738,36,"Casado","SI"
"Propiedad libre",75000,0,"Español",4000,98,4374,250,76,"Casado","SI"
"Propiedad libre",150000,0,"Español",8500,164,30000,7463,53,"Soltero","SI"
"Propiedad libre",150000,0,"Español",11100,215,29967,922,NA,"Casado","SI"
"Propiedad hipotecada",180000,80000,"Español",11000,214,18724,455,47,"Casado","SI"
"Vive con la familia",0,0,"Extranjero",3000,141,16140,370,35,"Soltero","NO"
"Propiedad hipotecada",42000,10924,"Español",8500,149,23956,282,58,"Casado","SI"
"Vive con la familia",0,0,"Español",3600,307,11029,371,75,"Soltero","NO"
"Propiedad hipotecada",227000,30000,"Español",13000,217,23500,2428,41,"Casado","SI"
"Propiedad hipotecada",75500,0,"Español",12000,215,27313,6491,30,"Soltero","SI"
"Vive con la familia",0,0,"Español",7000,171,11900,382,28,"Soltero","SI"
"Propiedad hipotecada",35000,0,"Español",6000,118,16456,-229,44,"Casado","SI"
"Propiedad hipotecada",100000,0,"Extranjero",10000,175,16000,148,32,"Casado","NO"
"Propiedad hipotecada",190000,0,"Español",1500,31,17420,117,46,"Casado","SI"
"Alquiler",0,0,"Extranjero",25000,495,24000,5996,49,"Soltero","SI"
"Alquiler",0,0,"Extranjero",3000,96,19000,178,48,"Separado","NO"
"Otros",0,0,"Extranjero",20000,346,14070,4072,56,"Soltero","SI"
"Propiedad hipotecada",27000,15000,"Español",18000,356,24500,2603,28,"Soltero","SI"
"Propiedad libre",300000,100000,"Español",5500,115,6905,5385,69,"Soltero","SI"
"Propiedad libre",200000,0,"Español",4000,95,20768,5607,47,"Casado","SI"
"Vive con la familia",0,0,"Extranjero",6000,122,16577,4104,45,"Casado","SI"
"Propiedad libre",70000,40000,"Español",12000,250,15649,12,45,"Casado","SI"
"Propiedad hipotecada",85035,12000,"Español",20000,404,15962,1202,55,"Casado","SI"
"Propiedad hipotecada",60000,0,"Español",3000,58,13037,847,40,"Casado","SI"
"Vive con la familia",0,0,"Español",3000,63,28000,590,48,"Casado","SI"
"Propiedad hipotecada",116591,0,"Extranjero",6000,122,9600,133,38,"Casado","SI"
"Propiedad libre",50000,50000,"Español",9000,182,32008,907,55,"Casado","SI"
"Propiedad hipotecada",131600,0,"Español",8500,145,15275,-126,53,"Separado","SI"
